"Disease","Report Year","DHBName","Age Group (year)","Case Count","Case rate per 100,000"
"Haemophilus influenzae type b",2006,"Waitemata","45–49",0,0
"Arboviral diseases",2006,"Waitemata","45–49",1,2.8
"Acute gastroenteritis",2006,"Waitemata","45–49",3,8.3
"Mpox",2006,"Waitemata","45–49",0,0
"Shigellosis",2006,"Waitemata","45–49",1,2.8
"Diphtheria",2006,"Waitemata","45–49",0,0
"Rickettsial disease",2006,"Waitemata","45–49",0,0
"Yersiniosis",2006,"Waitemata","45–49",2,5.5
"Pertussis",2006,"Waitemata","45–49",0,0
"Listeriosis",2006,"Waitemata","45–49",0,0
"Cysticercosis",2006,"Waitemata","45–49",0,0
"Mumps",2006,"Waitemata","45–49",0,0
"Tetanus",2006,"Waitemata","45–49",0,0
"Q fever",2006,"Waitemata","45–49",0,0
"Invasive pneumococcal disease",2006,"Waitemata","45–49",0,0
"Legionellosis",2006,"Waitemata","45–49",0,0
"Typhoid fever",2006,"Waitemata","45–49",0,0
"Hepatitis B",2006,"Waitemata","45–49",1,2.8
"Malaria",2006,"Waitemata","45–49",0,0
"Hepatitis C",2006,"Waitemata","45–49",0,0
"Cholera",2006,"Waitemata","45–49",0,0
"Poliomyelitis",2006,"Waitemata","45–49",0,0
"VTEC/STEC infection",2006,"Waitemata","45–49",1,2.8
"Campylobacteriosis",2006,"Waitemata","45–49",148,407.1
"Meningoencephalitis - primary amoebic",2006,"Waitemata","45–49",0,0
"Rheumatic fever",2006,"Waitemata","45–49",0,0
"Salmonellosis",2006,"Waitemata","45–49",6,16.5
"Hydatid disease",2006,"Waitemata","50–54",0,0
"Leptospirosis",2006,"Waitemata","50–54",0,0
"Leprosy",2006,"Waitemata","50–54",1,3.3
"Cryptosporidiosis",2006,"Waitemata","50–54",0,0
"Brucellosis",2006,"Waitemata","50–54",0,0
"Trichinosis",2006,"Waitemata","50–54",0,0
"Typhoid fever",2006,"Waitemata","50–54",0,0
"Yersiniosis",2006,"Waitemata","50–54",3,10
"Meningococcal disease",2006,"Waitemata","50–54",0,0
"Hepatitis NOS",2006,"Waitemata","50–54",0,0
"Hepatitis A",2006,"Waitemata","50–54",1,3.3
"Diphtheria",2006,"Waitemata","50–54",0,0
"Taeniasis",2006,"Waitemata","50–54",0,0
"Rubella",2006,"Waitemata","50–54",0,0
"Paratyphoid fever",2006,"Waitemata","50–54",0,0
"Rabies and other lyssaviruses",2006,"Waitemata","50–54",0,0
"Shigellosis",2006,"Waitemata","50–54",1,3.3
"Invasive pneumococcal disease",2006,"Waitemata","50–54",0,0
"Giardiasis",2006,"Waitemata","50–54",6,20
"VTEC/STEC infection",2006,"Waitemata","50–54",0,0
"Measles",2006,"Waitemata","50–54",0,0
"Toxic shellfish poisoning",2006,"Waitemata","50–54",0,0
"Rheumatic fever",2006,"Waitemata","50–54",0,0
"Q fever",2006,"Waitemata","50–54",0,0
"Haemophilus influenzae type b",2006,"Waitemata","50–54",0,0
"Tuberculosis disease",2006,"Waitemata","50–54",0,0
"Hepatitis C",2006,"Waitemata","50–54",0,0
"Cysticercosis",2006,"Waitemata","50–54",0,0
"Mpox",2006,"Waitemata","50–54",0,0
"Rickettsial disease",2006,"Waitemata","50–54",0,0
"Tetanus",2006,"Waitemata","50–54",0,0
"Pertussis",2006,"Waitemata","50–54",0,0
"Legionellosis",2006,"Waitemata","50–54",0,0
"Malaria",2006,"Waitemata","50–54",0,0
"Mumps",2006,"Waitemata","50–54",0,0
"Meningoencephalitis - primary amoebic",2006,"Waitemata","50–54",0,0
"Listeriosis",2006,"Waitemata","50–54",1,3.3
"Arboviral diseases",2006,"Waitemata","50–54",0,0
"Hepatitis B",2006,"Waitemata","50–54",0,0
"Poliomyelitis",2006,"Waitemata","50–54",0,0
"Acute gastroenteritis",2006,"Waitemata","50–54",8,26.7
"Cholera",2006,"Waitemata","50–54",0,0
"Salmonellosis",2006,"Waitemata","50–54",3,10
"Campylobacteriosis",2006,"Waitemata","50–54",146,487.4
"Hepatitis NOS",2006,"Waitemata","55–59",0,0
"Mpox",2006,"Waitemata","55–59",0,0
"Meningococcal disease",2006,"Waitemata","55–59",0,0
"Trichinosis",2006,"Waitemata","55–59",0,0
"Invasive pneumococcal disease",2006,"Waitemata","55–59",0,0
"Haemophilus influenzae type b",2006,"Waitemata","55–59",0,0
"Q fever",2006,"Waitemata","55–59",0,0
"Brucellosis",2006,"Waitemata","55–59",0,0
"Typhoid fever",2006,"Waitemata","55–59",0,0
